FPR,TPR,Threshold
2.439009518234645e-05,0.7136832225645339,0.9999789
2.439009518234645e-05,0.7139909983209461,0.9999788
2.439009518234645e-05,0.7143079159315092,0.99997866
2.439009518234645e-05,0.7145577932782994,0.99997854
2.439009518234645e-05,0.7147863396320708,0.9999784
2.439009518234645e-05,0.7150697371107475,0.9999783
2.439009518234645e-05,0.7153043780339529,0.9999782
2.439009518234645e-05,0.715551208096026,0.99997807
2.439009518234645e-05,0.7157919435886653,0.99997795
2.439009518234645e-05,0.7160814356367758,0.9999778
2.439009518234645e-05,0.7163069347058304,0.9999777
2.439009518234645e-05,0.7165750957609223,0.9999776
2.439009518234645e-05,0.7168645878090327,0.99997747
2.439009518234645e-05,0.7171175124405399,0.99997735
2.439009518234645e-05,0.7173399642248774,0.99997723
2.439009518234645e-05,0.7176111725646862,0.9999771
2.439009518234645e-05,0.7179798940154375,0.999977
2.439009518234645e-05,0.7183242371884532,0.9999769
2.439009518234645e-05,0.7185771618199603,0.99997675
2.439009518234645e-05,0.7187996136042979,0.99997663
2.439009518234645e-05,0.719049490951088,0.9999765
2.439009518234645e-05,0.7192902264437273,0.9999764
2.439009518234645e-05,0.7194943945197632,0.9999763
2.439009518234645e-05,0.7197259881582516,0.99997616
2.439009518234645e-05,0.7199758655050418,0.99997604
2.439009518234645e-05,0.7202348847059827,0.9999759
2.439009518234645e-05,0.720478667483339,0.9999758
2.439009518234645e-05,0.7206980719829595,0.9999757
2.439009518234645e-05,0.7209388074755989,0.99997556
2.439009518234645e-05,0.7213471436276706,0.9999753
2.439009518234645e-05,0.721834709182383,0.9999751
2.439009518234645e-05,0.7220571609667206,0.99997497
2.439009518234645e-05,0.7222826600357751,0.99997485
2.439009518234645e-05,0.7225873885074704,0.9999747
2.439009518234645e-05,0.7228342185695437,0.9999746
2.439009518234645e-05,0.7230140083678438,0.9999745
2.439009518234645e-05,0.7232181764438796,0.99997437
2.439009518234645e-05,0.7234711010753868,0.99997425
2.439009518234645e-05,0.7237057419985922,0.99997413
2.439009518234645e-05,0.7238794372274585,0.999974
2.439009518234645e-05,0.7241293145742486,0.9999739
2.439009518234645e-05,0.7243700500668879,0.9999738
2.439009518234645e-05,0.7246046909900933,0.99997365
2.439009518234645e-05,0.7247753389342426,0.99997354
2.439009518234645e-05,0.7249429395936751,0.9999734
2.439009518234645e-05,0.7251501549544278,0.9999733
2.439009518234645e-05,0.7253969850165011,0.9999732
2.439009518234645e-05,0.7255859166689521,0.99997306
2.439009518234645e-05,0.725790084744988,0.99997294
2.439009518234645e-05,0.7260003473904577,0.9999728
2.439009518234645e-05,0.7262288937442292,0.9999727
2.439009518234645e-05,0.7264147781119633,0.9999726
2.439009518234645e-05,0.7265915206255467,0.99997246
2.439009518234645e-05,0.7268109251251672,0.99997234
2.439009518234645e-05,0.7270272823400709,0.9999722
2.439009518234645e-05,0.7272619232632762,0.9999721
2.439009518234645e-05,0.7274264766379918,0.999972
